"Date","discharge_cfs"
2015-07-24,129.291666666667
2015-07-25,128.4375
2015-07-26,128.0625
2015-07-27,125.208333333333
2015-07-28,127.583333333333
2015-07-29,152.010416666667
2015-07-30,167.239583333333
2015-07-31,175.90625
2015-08-01,321.739583333333
2015-08-02,378.5
2015-08-03,375.208333333333
2015-08-04,372.104166666667
2015-08-05,358.875
2015-08-06,348.166666666667
2015-08-07,342.59375
2015-08-08,337.96875
2015-08-09,335.416666666667
2015-08-10,170.885416666667
2015-08-11,11.5402083333333
2015-08-12,5.80875
2015-08-13,5.59822916666667
2015-08-14,5.08479166666667
2015-08-15,4.81958333333333
2015-08-16,4.77145833333333
2015-08-17,4.84479166666667
2015-08-18,4.66625
2015-08-19,4.21083333333333
2015-08-20,4.10104166666667
2015-08-21,3.996875
2015-08-22,4.0025
2015-08-23,4.026875
2015-08-24,3.99875
2015-08-25,4.02125
2015-08-26,3.55208333333333
2015-08-27,3.5
2015-08-28,3.53125
2015-08-29,3.45375
2015-08-30,3.29166666666667
2015-08-31,3.38833333333333
2015-09-01,28.2109375
2015-09-02,70.06875
2015-09-03,84.8302083333333
2015-09-04,84.1572916666667
2015-09-05,81.8010416666667
2015-09-06,81.4666666666667
2015-09-07,80.4166666666667
2015-09-08,79.75
2015-09-09,79.3833333333333
2015-09-10,78.6833333333333
2015-09-11,78.4166666666667
2015-09-12,78.5833333333333
2015-09-13,41.9653125
2015-09-14,3.445
2015-09-15,3.30625
2015-09-16,3.07427083333333
2015-09-17,3.03375
2015-09-18,3.02
2015-09-19,3.05260416666667
2015-09-20,3.1490625
2015-09-21,3.22604166666667
2015-09-22,3.21583333333333
2015-09-23,3.37875
2015-09-24,3.52791666666667
2015-09-25,3.60208333333333
2015-09-26,3.785
2015-09-27,3.98229166666667
2015-09-28,4.10708333333333
2015-09-29,4.08166666666667
2015-09-30,4.23583333333333
2015-10-01,4.3034375
2015-10-02,4.218125
2015-10-03,4.10510416666667
2015-10-04,4.03385416666667
2015-10-05,4.02229166666667
2015-10-06,3.9375
2015-10-07,3.75145833333333
2015-10-08,3.6646875
2015-10-09,3.57791666666667
2015-10-10,3.36
2015-10-11,3.18833333333333
2015-10-12,3.19333333333333
2015-10-13,3.1784375
2015-10-14,3.18
2015-10-15,3.24166666666667
2015-10-16,3.425
2015-10-17,3.40333333333333
2015-10-18,3.33666666666667
2015-10-19,3.29
2015-10-20,3.20510416666667
2015-10-21,3.19166666666667
